,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
3735,Alfândega da Fé,501.0,614.1508611111111,6.675552838164252,7.98695652173913,277.7,3.018478260869565,2020,4,5,6.2166061010848646,889.9,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0
3736,Bragança,752.0,609.9506694444444,6.6298985809178745,11.21195652173913,330.5,3.592391304347826,2020,4,5,6.62273632394984,1046.9,4.0,0.0,8.0,18.0,11.0,42.0,14.0,1.0,53.0,64.0,36.0,27.0,155.0,21.0,12.0,7.0
3739,Mirandela,705.0,618.1475861111111,6.718995501207729,6.03695652173913,247.1,2.6858695652173914,2020,4,5,6.558197802812269,1001.4,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0
3740,Mogadouro,387.0,606.3274388888889,6.590515640096618,11.346739130434784,273.0,2.967391304347826,2020,4,5,5.958424693029782,921.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6.0,4.0,4.0,16.0,1.0,1.0,0.0
3741,Vila Flor,810.4929078014185,613.5928222222223,6.669487198067634,7.353260869565218,264.7,2.877173913043478,2020,4,5,6.697642590738209,969.8,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,10.0,0.0,1.0,0.0
3742,Vinhais,357.0,561.3535111111111,6.101668599033816,10.893478260869566,401.3,4.36195652173913,2020,4,5,5.877735781779639,853.9,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,11.0,0.0,1.0,0.0
3744,Albergaria-a-Velha,822.0,625.7884361111111,6.802048218599033,11.552173913043475,629.6999999999999,6.844565217391303,2020,4,5,6.71174039505618,1139.9,1.0,0.0,2.0,4.0,1.0,32.0,3.0,3.0,6.0,22.0,6.0,15.0,75.0,15.0,6.0,2.0
3746,Aveiro,1284.0,640.4793222222222,6.961731763285024,13.556521739130435,410.8,4.465217391304348,2020,4,5,7.157735484249907,1286.1,1.0,1.0,5.0,8.0,3.0,38.0,4.0,10.0,14.0,41.0,12.0,22.0,120.0,14.0,7.0,8.0
3747,Estarreja,800.0,623.4505888888889,6.776636835748792,11.705434782608696,529.0,5.75,2020,4,5,6.684611727667927,1297.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,5.0,5.0,3.0,4.0,27.0,5.0,1.0,0.0
3748,Ílhavo,1095.0,641.5555805555556,6.973430223429952,12.582608695652173,387.5,4.211956521739131,2020,4,5,6.9985096422506015,1179.0,1.0,1.0,4.0,4.0,2.0,21.0,4.0,6.0,13.0,27.0,9.0,10.0,75.0,4.0,6.0,8.0
3749,Murtosa,862.0,632.6952388888889,6.877122161835748,14.610869565217392,419.6,4.560869565217391,2020,4,5,6.759255270663693,941.1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0
3750,Oliveira do Bairro,739.0,639.608511111111,6.952266425120772,11.27608695652174,402.6,4.376086956521739,2020,4,5,6.6052979209482015,1094.6,0.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,4.0,5.0,3.0,3.0,39.0,3.0,0.0,0.0
3751,Ovar,1025.0,321.2953,3.4923402173913045,8.066304347826087,206.0,2.239130434782609,2020,4,5,6.932447891572509,1114.5,3.0,0.0,4.0,4.0,4.0,32.0,6.0,5.0,11.0,30.0,9.0,23.0,92.0,15.0,12.0,0.0
3752,Sever do Vouga,571.0,616.9636027777777,6.706126117149758,11.434782608695652,704.5,7.657608695652174,2020,4,5,6.3473892096560105,1123.9,0.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,6.0,1.0,4.0,21.0,1.0,4.0,0.0
3753,Vagos,882.0,646.7368638888889,7.029748520531402,12.041304347826086,370.8,4.030434782608696,2020,4,5,6.782192056006791,1046.8,0.0,0.0,1.0,3.0,1.0,12.0,0.0,1.0,0.0,5.0,2.0,4.0,33.0,0.0,0.0,0.0
3755,Cantanhede,768.0,649.7665,7.062679347826086,12.452173913043476,386.0,4.195652173913044,2020,4,5,6.643789733147672,1109.5,0.0,0.0,1.0,3.0,3.0,25.0,2.0,1.0,5.0,18.0,7.0,7.0,67.0,0.0,1.0,0.0
3756,Coimbra,1333.0,650.5001583333334,7.070653894927537,11.992391304347825,401.2,4.360869565217391,2020,4,5,7.195187320178709,1214.2,3.0,4.0,13.0,5.0,13.0,58.0,13.0,16.0,22.0,50.0,12.0,30.0,133.0,17.0,10.0,18.0
3757,Condeixa-a-Nova,948.0,650.7629555555555,7.07351038647343,11.548913043478262,443.4,4.819565217391304,2020,4,5,6.854354502255021,1016.5,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,4.0,7.0,1.0,6.0,24.0,2.0,1.0,1.0
3760,Lousã,712.0,635.1162416666666,6.903437409420289,10.581521739130435,490.9,5.335869565217391,2020,4,5,6.568077911411976,1017.2,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,9.0,0.0,2.0,0.0
3762,Mira,918.0,698.2276666666667,7.58943115942029,11.88586956521739,155.70000000000002,1.6923913043478265,2020,4,5,6.822197390620491,965.8,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,15.0,0.0,0.0,0.0
3765,Mortágua,432.0,630.5537611111112,6.853845229468599,11.115217391304348,427.6,4.647826086956522,2020,4,5,6.068425588244111,1072.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0
3769,Penela,590.0,649.46745,7.059428804347826,12.506521739130434,474.5,5.157608695652174,2020,4,5,6.380122536899765,977.7,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,6.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0
3771,Tábua,552.0,620.7258583333333,6.7470201992753625,10.439130434782609,367.3,3.992391304347826,2020,4,5,6.313548046277095,922.5,0.0,0.0,3.0,3.0,1.0,12.0,4.0,1.0,2.0,5.0,3.0,5.0,16.0,5.0,0.0,0.0
3772,Vila Nova de Poiares,554.0,633.6406861111111,6.887398762077295,9.991304347826087,453.1,4.925,2020,4,5,6.317164686747284,973.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0
3773,Alvaiázere,419.0,636.8570277777778,6.922358997584541,12.983695652173912,371.6,4.039130434782608,2020,4,5,6.037870919922137,950.8,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,0.0
3774,Ansião,486.0,652.4531944444444,7.0918825483091785,13.389130434782608,405.7,4.409782608695652,2020,4,5,6.186208623900494,969.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0
3775,Batalha,752.0,669.4581055555556,7.276718538647343,13.155434782608696,371.1,4.033695652173913,2020,4,5,6.62273632394984,1125.6,2.0,1.0,1.0,5.0,2.0,10.0,4.0,2.0,9.0,8.0,3.0,5.0,32.0,1.0,2.0,0.0
3777,Figueiró dos Vinhos,512.0,615.6790888888889,6.692164009661837,12.764130434782608,466.9,5.075,2020,4,5,6.238324625039508,913.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,2.0,7.0,2.0,2.0,9.0,1.0,1.0,0.0
3779,Marinha Grande,797.0,673.3020194444445,7.318500211352657,12.879347826086958,342.3,3.720652173913044,2020,4,5,6.680854678790215,1329.9,2.0,0.0,1.0,2.0,0.0,21.0,2.0,3.0,5.0,12.0,5.0,2.0,43.0,3.0,3.0,2.0
3780,Pedrógão Grande,495.0,611.673675,6.6486269021739135,11.683695652173911,427.7,4.64891304347826,2020,4,5,6.20455776256869,944.5,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,0.0
3781,Pombal,780.0,652.8238388888889,7.095911292270531,13.23695652173913,386.2,4.197826086956522,2020,4,5,6.659293919683638,1062.0,1.0,0.0,1.0,7.0,1.0,33.0,1.0,4.0,6.0,21.0,6.0,6.0,91.0,11.0,1.0,0.0
3784,Carregal do Sal,469.0,630.8089055555555,6.856618538647342,10.984782608695651,499.2,5.426086956521739,2020,4,5,6.150602768446279,994.7,0.0,0.0,1.0,4.0,0.0,8.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,5.0,1.0,0.0
3785,Castro Daire,485.0,603.2421527777777,6.556979921497584,9.92282608695652,575.9,6.259782608695652,2020,4,5,6.184148890937483,885.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,1.0,4.0,8.0,2.0,1.0,28.0,1.0,1.0,0.0
3786,Mangualde,566.0,602.1749222222222,6.545379589371981,11.997826086956522,373.8,4.0630434782608695,2020,4,5,6.338594078203183,1158.5,0.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,2.0,3.0,1.0,21.0,5.0,1.0,0.0
3787,Nelas,514.0,613.8639444444444,6.672434178743961,12.06086956521739,407.0,4.423913043478261,2020,4,5,6.2422232654551655,1127.9,0.0,0.0,1.0,2.0,0.0,15.0,1.0,0.0,2.0,2.0,4.0,3.0,17.0,5.0,1.0,0.0
3788,Oliveira de Frades,597.0,585.2208222222222,6.361095893719806,7.898913043478261,396.2,4.306521739130434,2020,4,5,6.391917113392602,1125.8,0.0,0.0,1.0,3.0,1.0,14.0,2.0,0.0,4.0,8.0,2.0,3.0,19.0,1.0,1.0,0.0
3789,Penalva do Castelo,358.0,609.9805805555555,6.630223701690821,12.393478260869566,383.3,4.166304347826087,2020,4,5,5.8805329864007,936.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0
3790,Santa Comba Dão,610.0,630.5537611111112,6.853845229468599,11.115217391304348,427.6,4.647826086956522,2020,4,5,6.413458957167357,956.5,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,3.0,0.0,0.0
3791,São Pedro do Sul,667.0,984.9502833333332,10.70598134057971,13.631521739130434,232.0,2.5217391304347827,2020,4,5,6.502790045915623,877.6,1.0,0.0,4.0,7.0,1.0,12.0,6.0,1.0,4.0,16.0,3.0,5.0,38.0,4.0,2.0,1.0
3792,Sátão,467.0,597.502175,6.494588858695652,12.63804347826087,477.9,5.194565217391304,2020,4,5,6.1463292576688975,853.7,0.0,0.0,1.0,2.0,1.0,8.0,1.0,0.0,2.0,3.0,4.0,2.0,12.0,0.0,2.0,0.0
3793,Tondela,554.0,618.9243833333334,6.727438949275363,10.65,451.7,4.909782608695652,2020,4,5,6.317164686747284,1160.5,0.0,0.0,1.0,4.0,2.0,24.0,1.0,4.0,6.0,10.0,4.0,5.0,29.0,1.0,3.0,0.0
3794,Vila Nova de Paiva,810.4929078014185,604.1999861111111,6.567391153381642,13.081521739130435,530.2,5.76304347826087,2020,4,5,6.697642590738209,884.4,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,9.0,0.0,4.0,0.0
3795,Viseu,962.0,609.7704138888889,6.627939281400967,11.009782608695652,401.9,4.368478260869565,2020,4,5,6.8690144506657065,1065.3,2.0,2.0,3.0,8.0,6.0,55.0,6.0,12.0,12.0,32.0,6.0,8.0,114.0,7.0,5.0,10.0
3796,Vouzela,418.0,608.31225,6.612089673913043,9.107608695652171,562.6,6.115217391304348,2020,4,5,6.035481432524756,933.0,0.0,0.0,1.0,3.0,3.0,12.0,3.0,0.0,3.0,6.0,3.0,4.0,14.0,2.0,3.0,0.0
3799,Oleiros,333.0,575.4765527777778,6.255179921497585,16.37608695652174,503.7,5.475,2020,4,5,5.808142489980444,992.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,2.0,0.0
3800,Penamacor,225.0,620.6559027777778,6.746259812801933,11.5,374.9,4.075,2020,4,5,5.41610040220442,949.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0
3801,Proença-a-Nova,565.0,615.6426611111111,6.691768055555555,13.040217391304347,425.4,4.623913043478261,2020,4,5,6.336825731146441,990.6,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0
3802,Vila Velha de Ródão,267.0,610.004775,6.630486684782609,9.668478260869565,312.2,3.393478260869565,2020,4,5,5.58724865840025,1366.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,4.0,8.0,0.0,0.0
3803,Sertã,589.0,621.5212,6.7556652173913045,12.082608695652173,389.5,4.233695652173913,2020,4,5,6.3784261836515865,934.0,1.0,0.0,3.0,5.0,1.0,6.0,5.0,0.0,5.0,8.0,6.0,4.0,25.0,4.0,4.0,0.0
3805,Almeida,249.0,646.0287916666666,7.022052083333333,12.709782608695653,263.0,2.858695652173913,2020,4,5,5.517452896464707,905.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,10.0,3.0,8.0,6.0,1.0,0.0
3806,Belmonte,442.0,670.6574222222222,7.28975458937198,11.983695652173912,157.1,1.707608695652174,2020,4,5,6.091309882077698,909.2,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0
3808,Covilhã,722.0,600.2207611111111,6.524138707729469,9.30108695652174,634.5,6.896739130434782,2020,4,5,6.582025138892826,1027.8,1.0,1.0,3.0,4.0,3.0,26.0,4.0,8.0,17.0,26.0,15.0,13.0,64.0,20.0,6.0,2.0
3809,Figueira de Castelo Rodrigo,167.0,650.8235944444444,7.074169504830918,10.784782608695652,252.6,2.7456521739130437,2020,4,5,5.117993812416755,874.5,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,7.0,7.0,5.0,5.0,18.0,1.0,1.0,1.0
3810,Fornos de Algodres,810.4929078014185,616.9844833333333,6.706353079710144,11.403260869565216,351.1,3.816304347826087,2020,4,5,6.697642590738209,838.7,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,2.0,0.0,0.0
3811,Fundão,610.0,623.1127722222222,6.772964915458937,8.867391304347825,415.1,4.511956521739131,2020,4,5,6.413458957167357,983.4,1.0,1.0,1.0,4.0,3.0,24.0,1.0,4.0,12.0,21.0,9.0,15.0,58.0,12.0,3.0,2.0
3812,Gouveia,385.0,892.01465,9.695811413043478,10.431521739130435,476.9,5.183695652173912,2020,4,5,5.953243334287785,923.4,2.0,0.0,3.0,7.0,3.0,9.0,4.0,0.0,10.0,11.0,5.0,4.0,28.0,4.0,2.0,1.0
3815,Mêda,237.0,650.4978805555555,7.070629136473429,11.904347826086957,269.4,2.928260869565217,2020,4,5,5.4680601411351315,892.6,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0
3818,Seia,471.0,613.5975972222222,6.669539100241546,9.908695652173911,499.2,5.426086956521739,2020,4,5,6.154858094016418,919.2,2.0,0.0,3.0,5.0,3.0,10.0,5.0,0.0,10.0,12.0,8.0,7.0,32.0,13.0,2.0,1.0
3819,Trancoso,266.0,607.6340944444445,6.6047184178743965,13.734782608695651,360.8,3.921739130434783,2020,4,5,5.583496308781699,975.4,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,5.0,5.0,2.0,2.0,11.0,1.0,1.0,0.0
3820,Alcobaça,887.0,904.6990361111112,9.833685175120774,15.444565217391306,442.0,4.804347826086956,2020,4,5,6.787844982309579,1038.7,3.0,3.0,3.0,8.0,9.0,39.0,7.0,12.0,15.0,28.0,13.0,15.0,104.0,12.0,3.0,5.0
3822,Arruda dos Vinhos,1062.0,680.9170083333333,7.401271829710145,14.440217391304348,253.0,2.75,2020,4,5,6.967909201801884,1107.8,0.0,0.0,0.0,2.0,2.0,8.0,2.0,1.0,2.0,5.0,2.0,2.0,13.0,1.0,1.0,0.0
3823,Bombarral,745.0,691.4354555555556,7.515602777777778,14.007608695652175,265.1,2.881521739130435,2020,4,5,6.61338421837956,967.7,1.0,0.0,1.0,3.0,0.0,8.0,5.0,0.0,3.0,5.0,3.0,3.0,14.0,4.0,2.0,0.0
3824,Cadaval,678.0,668.5912277777778,7.267295954106281,13.425,256.6,2.789130434782609,2020,4,5,6.519147287940395,1017.5,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,2.0,5.0,2.0,2.0,18.0,4.0,3.0,0.0
3826,Lourinhã,1058.0,693.8981472222222,7.542371165458936,16.506521739130434,280.9,3.053260869565217,2020,4,5,6.964135612418245,999.7,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,3.0,11.0,2.0,8.0,30.0,2.0,2.0,0.0
3827,Nazaré,1369.0,980.0669333333332,10.652901449275362,7.985869565217392,266.7,2.898913043478261,2020,4,5,7.221835825288449,1030.9,2.0,0.0,2.0,2.0,2.0,7.0,3.0,2.0,5.0,7.0,6.0,2.0,26.0,5.0,2.0,0.0
3828,Óbidos,1294.0,694.30015,7.546740760869565,14.856521739130434,281.3,3.057608695652174,2020,4,5,7.165493475060845,1026.1,1.0,3.0,1.0,2.0,7.0,20.0,3.0,8.0,12.0,10.0,4.0,3.0,49.0,5.0,1.0,3.0
3829,Peniche,1127.0,701.1335916666667,7.621017300724638,17.55217391304348,292.8,3.182608695652174,2020,4,5,7.027314514039777,995.2,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,5.0,3.0,3.0,22.0,2.0,1.0,2.0
3830,Sobral de Monte Agraço,908.0,687.1935611111111,7.469495229468599,15.008695652173913,254.2,2.7630434782608693,2020,4,5,6.811244378601294,1029.8,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,6.0,1.0,0.0
3831,Torres Vedras,1105.0,695.7102888888888,7.562068357487922,15.956521739130435,260.2,2.8282608695652174,2020,4,5,7.007600613951853,1073.5,1.0,0.0,1.0,5.0,4.0,36.0,5.0,1.0,7.0,34.0,6.0,12.0,78.0,9.0,4.0,0.0
3832,Abrantes,504.0,636.2462138888889,6.915719716183575,12.094565217391304,353.9,3.8467391304347824,2020,4,5,6.222576268071369,1165.5,1.0,0.0,1.0,5.0,2.0,10.0,7.0,0.0,19.0,22.0,10.0,6.0,47.0,12.0,10.0,1.0
3834,Constância,441.0,490.0277861111112,5.326388979468599,12.77608695652174,172.2,1.8717391304347823,2020,4,5,6.089044875446846,1282.2,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0,5.0,3.0,1.0,7.0,2.0,3.0,0.0
3835,Entroncamento,606.0,658.9220583333333,7.162196286231884,10.559782608695652,283.9,3.085869565217391,2020,4,5,6.406879986069314,1194.2,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0
3836,Ferreira do Zêzere,542.0,635.4110666666667,6.906642028985507,13.32391304347826,410.5,4.461956521739131,2020,4,5,6.295266001439646,986.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0
3837,Mação,230.0,636.1530333333333,6.914706884057971,12.231521739130434,379.7,4.127173913043478,2020,4,5,5.438079308923196,983.2,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,5.0,4.0,2.0,0.0
3839,Sardoal,325.0,645.1766138888889,7.012789281400967,11.94891304347826,399.0,4.336956521739131,2020,4,5,5.783825182329737,846.9,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
3840,Tomar,722.0,649.7908138888889,7.062943629227053,13.003260869565215,328.2,3.567391304347826,2020,4,5,6.582025138892826,1044.3,1.0,0.0,1.0,3.0,3.0,9.0,3.0,2.0,13.0,12.0,5.0,3.0,49.0,12.0,5.0,1.0
3841,Torres Novas,647.0,653.1817527777778,7.099801660628019,10.32717391304348,322.5,3.505434782608696,2020,4,5,6.472346294500901,1141.4,1.0,0.0,3.0,4.0,4.0,28.0,4.0,1.0,19.0,14.0,4.0,3.0,47.0,9.0,4.0,2.0
3842,Vila Nova da Barquinha,691.0,658.9220583333333,7.162196286231884,10.559782608695652,283.9,3.085869565217391,2020,4,5,6.53813982376767,897.5,1.0,0.0,0.0,3.0,2.0,6.0,3.0,0.0,8.0,4.0,3.0,2.0,9.0,4.0,3.0,0.0
3843,Almeirim,699.0,912.2295138888888,9.915538194444444,10.402173913043478,322.8,3.508695652173913,2020,4,5,6.54965074223381,993.7,1.0,3.0,2.0,3.0,3.0,13.0,5.0,2.0,7.0,10.0,6.0,5.0,28.0,2.0,6.0,1.0
3844,Alpiarça,580.0,653.9023166666667,7.107633876811595,11.04782608695652,279.9,3.042391304347826,2020,4,5,6.363028103540465,1001.3,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,13.0,0.0,2.0,0.0
3845,Azambuja,1011.0,651.8766333333333,7.0856155797101446,11.670652173913044,225.3,2.448913043478261,2020,4,5,6.918695219020472,1087.9,0.0,0.0,1.0,4.0,2.0,13.0,5.0,3.0,2.0,14.0,8.0,6.0,44.0,5.0,2.0,0.0
3846,Benavente,899.0,602.4527361111111,6.548399305555556,12.408695652173911,177.4,1.9282608695652173,2020,4,5,6.80128303447162,1127.2,1.0,0.0,0.0,4.0,0.0,14.0,3.0,2.0,4.0,8.0,5.0,2.0,29.0,3.0,2.0,0.0
3847,Cartaxo,757.0,661.9672111111112,7.195295772946861,11.280434782608696,263.7,2.866304347826087,2020,4,5,6.6293632534374485,1048.8,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,3.0,12.0,4.0,5.0,30.0,6.0,2.0,0.0
3848,Chamusca,490.0,654.1987527777778,7.110856008454107,12.248913043478264,298.1,3.240217391304348,2020,4,5,6.194405391104672,1008.0,0.0,1.0,2.0,2.0,3.0,12.0,7.0,0.0,13.0,22.0,11.0,5.0,46.0,12.0,7.0,2.0
3849,Coruche,712.0,640.2399527777778,6.959129921497585,11.066304347826089,341.4,3.710869565217391,2020,4,5,6.568077911411976,1041.0,0.0,0.0,1.0,3.0,0.0,20.0,1.0,0.0,9.0,8.0,8.0,5.0,33.0,1.0,0.0,1.0
3851,Rio Maior,686.0,671.1532444444445,7.295143961352657,14.141304347826088,278.7,3.029347826086956,2020,4,5,6.530877627725885,1070.8,2.0,0.0,1.0,2.0,2.0,11.0,2.0,3.0,5.0,11.0,2.0,3.0,49.0,1.0,2.0,1.0
3852,Salvaterra de Magos,944.0,651.5931055555556,7.082533756038647,11.132608695652175,239.7,2.6054347826086954,2020,4,5,6.8501261661455,1034.2,1.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,4.0,4.0,3.0,2.0,17.0,2.0,0.0,0.0
3853,Santarém,752.0,662.6791472222222,7.203034208937198,10.222826086956522,259.3,2.8184782608695653,2020,4,5,6.62273632394984,1099.5,1.0,14.0,3.0,9.0,3.0,36.0,8.0,2.0,12.0,21.0,10.0,6.0,81.0,5.0,9.0,1.0
3854,Amadora,1678.0,673.503225,7.32068722826087,12.732608695652177,255.8,2.780434782608696,2020,4,5,7.425357887027151,1476.8,1.0,3.0,1.0,5.0,7.0,45.0,8.0,10.0,3.0,69.0,17.0,12.0,108.0,9.0,10.0,2.0
3855,Cascais,2780.0,684.6222194444445,7.44154586352657,14.134782608695652,264.7,2.877173913043478,2020,4,5,7.930206206684683,1264.2,2.0,3.0,3.0,6.0,7.0,61.0,6.0,29.0,17.0,58.0,19.0,15.0,171.0,11.0,6.0,5.0
3856,Lisboa,3415.0,683.5742277777778,7.430154649758454,12.395652173913044,237.9,2.5858695652173918,2020,4,5,8.13593277200489,1702.8,14.0,16.0,15.0,25.0,39.0,189.0,88.0,55.0,109.0,351.0,74.0,69.0,431.0,103.0,77.0,53.0
3857,Loures,1796.0,672.8989166666667,7.31411865942029,13.60108695652174,237.0,2.5760869565217392,2020,4,5,7.493317248862145,1256.2,2.0,1.0,1.0,15.0,6.0,121.0,12.0,23.0,11.0,87.0,18.0,25.0,190.0,12.0,14.0,3.0
3858,Mafra,1557.0,687.0714666666667,7.468168115942029,16.671739130434784,295.2,3.2086956521739127,2020,4,5,7.350516171833998,1067.7,1.0,0.0,1.0,3.0,1.0,28.0,4.0,4.0,9.0,23.0,7.0,6.0,64.0,13.0,4.0,1.0
3860,Oeiras,2363.0,684.6222194444445,7.44154586352657,14.134782608695652,264.7,2.877173913043478,2020,4,5,7.767687277186908,1839.8,2.0,0.0,3.0,6.0,8.0,66.0,5.0,12.0,11.0,58.0,18.0,15.0,123.0,11.0,16.0,10.0
3861,Sintra,1413.0,682.6533944444444,7.420145591787439,15.354347826086956,306.0,3.3260869565217392,2020,4,5,7.253470382684528,1255.4,4.0,2.0,2.0,11.0,11.0,118.0,11.0,23.0,22.0,87.0,22.0,21.0,225.0,20.0,17.0,7.0
3862,Vila Franca de Xira,1368.0,661.7845861111111,7.193310718599034,12.09891304347826,233.6,2.5391304347826087,2020,4,5,7.221105098182496,1273.3,0.0,0.0,1.0,11.0,6.0,50.0,7.0,11.0,10.0,39.0,11.0,12.0,100.0,11.0,3.0,1.0
3863,Alcochete,1493.0,659.9096055555556,7.172930495169083,11.964130434782607,249.4,2.7108695652173918,2020,4,5,7.30854279753919,2019.5,1.0,0.0,1.0,2.0,2.0,21.0,4.0,9.0,7.0,17.0,5.0,4.0,34.0,7.0,3.0,0.0
3864,Almada,1748.0,683.5742277777778,7.430154649758454,12.395652173913044,237.9,2.5858695652173918,2020,4,5,7.466227556215481,1184.0,3.0,3.0,1.0,6.0,4.0,82.0,10.0,31.0,21.0,60.0,14.0,12.0,111.0,28.0,10.0,10.0
3865,Barreiro,1105.0,688.165263888889,7.480057216183575,12.0,207.6,2.256521739130435,2020,4,5,7.007600613951853,1164.5,2.0,0.0,1.0,2.0,1.0,35.0,5.0,11.0,3.0,37.0,10.0,8.0,75.0,9.0,5.0,1.0
3869,Seixal,1351.0,688.165263888889,7.480057216183575,12.0,207.6,2.256521739130435,2020,4,5,7.208600337960199,1357.0,1.0,0.0,2.0,6.0,3.0,75.0,6.0,16.0,6.0,41.0,12.0,13.0,108.0,11.0,8.0,3.0
3870,Sesimbra,1404.0,712.8987666666667,7.74889963768116,18.22717391304348,246.1,2.675,2020,4,5,7.247080584585756,1022.5,1.0,0.0,0.0,2.0,2.0,25.0,5.0,5.0,5.0,8.0,9.0,5.0,39.0,1.0,3.0,0.0
3871,Setúbal,1283.0,667.7936972222222,7.258627143719807,12.48695652173913,232.9,2.5315217391304348,2020,4,5,7.1569563646156364,1257.5,2.0,0.0,2.0,5.0,7.0,35.0,4.0,5.0,12.0,41.0,15.0,9.0,82.0,7.0,13.0,1.0
3872,Alcácer do Sal,900.0,678.2762222222223,7.372567632850242,10.921739130434782,237.2,2.5782608695652174,2020,4,5,6.802394763324311,1023.0,1.0,0.0,2.0,3.0,0.0,9.0,2.0,0.0,6.0,8.0,8.0,5.0,27.0,4.0,2.0,0.0
