,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
87,Estarreja,950.0,562.8371277777778,6.117794867149759,11.222826086956522,691.3,7.514130434782608,2023,4,17,6.856461984594587,1504.1,0.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,5.0,5.0,3.0,4.0,27.0,5.0,1.0,0.0
88,Ílhavo,1755.0,580.4443527777778,6.309177747584541,12.032608695652174,573.6,6.234782608695652,2023,4,17,7.470224135899966,1403.3,1.0,1.0,4.0,4.0,2.0,21.0,4.0,6.0,13.0,27.0,9.0,10.0,75.0,4.0,6.0,8.0
89,Murtosa,1061.0,582.4859166666666,6.331368659420289,14.382608695652175,593.8,6.4543478260869565,2023,4,17,6.966967138613983,1125.2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0
90,Oliveira do Bairro,1056.0,568.6670972222222,6.181164100241546,10.13804347826087,551.2,5.991304347826088,2023,4,17,6.962243464266207,1302.7,0.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,4.0,5.0,3.0,3.0,39.0,3.0,0.0,0.0
91,Ovar,1340.0,461.5748916666666,5.017118387681159,10.147826086956522,315.5,3.4293478260869565,2023,4,17,7.200424892944957,1363.2,3.0,0.0,4.0,4.0,4.0,32.0,6.0,5.0,11.0,30.0,9.0,23.0,92.0,15.0,12.0,0.0
92,Sever do Vouga,710.0,549.9963583333333,5.978221286231884,10.756521739130434,973.9,10.585869565217392,2023,4,17,6.565264970035361,1292.3,0.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,6.0,1.0,4.0,21.0,1.0,4.0,0.0
93,Vagos,1389.0,583.2480638888889,6.339652868357487,11.267391304347823,532.5,5.788043478260869,2023,4,17,7.236339342754344,1275.4,0.0,0.0,1.0,3.0,1.0,12.0,0.0,1.0,0.0,5.0,2.0,4.0,33.0,0.0,0.0,0.0
95,Cantanhede,822.0,587.6046611111111,6.387007185990338,11.665217391304347,497.3,5.405434782608696,2023,4,17,6.71174039505618,1290.3,0.0,0.0,1.0,3.0,3.0,25.0,2.0,1.0,5.0,18.0,7.0,7.0,67.0,0.0,1.0,0.0
96,Coimbra,1734.0,587.6020833333333,6.386979166666666,11.61195652173913,530.2,5.76304347826087,2023,4,17,7.458186157340487,1418.6,3.0,4.0,13.0,5.0,13.0,58.0,13.0,16.0,22.0,50.0,12.0,30.0,133.0,17.0,10.0,18.0
97,Condeixa-a-Nova,1199.0,593.8258138888889,6.454628411835749,10.966304347826089,498.2,5.415217391304347,2023,4,17,7.089243155027514,1237.9,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,4.0,7.0,1.0,6.0,24.0,2.0,1.0,1.0
100,Lousã,817.0,587.0180305555556,6.3806307669082125,10.022826086956522,508.0,5.521739130434782,2023,4,17,6.705639094860003,1220.6,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,9.0,0.0,2.0,0.0
102,Mira,1317.0,661.2436,7.187430434782609,12.690217391304348,86.5,0.9402173913043478,2023,4,17,7.183111701743281,1144.4,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,15.0,0.0,0.0,0.0
105,Mortágua,583.0,576.7328555555556,6.26883538647343,10.814130434782609,506.1,5.501086956521739,2023,4,17,6.368187186350492,1337.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0
109,Penela,520.0,595.7752916666667,6.47581838768116,11.170652173913044,491.9,5.346739130434782,2023,4,17,6.253828811575473,1175.5,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,6.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0
111,Tábua,618.0,580.0717694444445,6.305127928743962,10.775,465.7,5.0619565217391305,2023,4,17,6.42648845745769,1159.4,0.0,0.0,3.0,3.0,1.0,12.0,4.0,1.0,2.0,5.0,3.0,5.0,16.0,5.0,0.0,0.0
112,Vila Nova de Poiares,731.0,582.8455694444444,6.335277928743961,10.03695652173913,483.5,5.255434782608695,2023,4,17,6.594413459749778,1178.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0
113,Alvaiázere,515.0,589.51115,6.407729891304348,11.283695652173911,407.5,4.429347826086956,2023,4,17,6.244166900663736,1135.6,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,0.0
114,Ansião,481.0,594.2495583333333,6.459234329710145,12.02282608695652,422.7,4.594565217391304,2023,4,17,6.175867270105761,1182.5,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0
115,Batalha,998.0,624.5613444444444,6.788710265700483,11.97717391304348,391.6,4.256521739130435,2023,4,17,6.905753276311464,1294.8,2.0,1.0,1.0,5.0,2.0,10.0,4.0,2.0,9.0,8.0,3.0,5.0,32.0,1.0,2.0,0.0
117,Figueiró dos Vinhos,630.0,568.4779027777778,6.179107638888889,11.009782608695652,485.7,5.279347826086957,2023,4,17,6.4457198193855785,1077.2,0.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,2.0,7.0,2.0,2.0,9.0,1.0,1.0,0.0
119,Marinha Grande,1136.0,629.7689111111112,6.84531425120773,11.745652173913042,379.6,4.126086956521739,2023,4,17,7.035268599281097,1515.6,2.0,0.0,1.0,2.0,0.0,21.0,2.0,3.0,5.0,12.0,5.0,2.0,43.0,3.0,3.0,2.0
120,Pedrógão Grande,536.0,572.1217861111111,6.21871506642512,10.072826086956525,481.3,5.231521739130435,2023,4,17,6.284134161070802,1080.2,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,0.0
121,Pombal,980.0,592.456975,6.43974972826087,12.395652173913044,406.6,4.4195652173913045,2023,4,17,6.887552571664617,1241.4,1.0,0.0,1.0,7.0,1.0,33.0,1.0,4.0,6.0,21.0,6.0,6.0,91.0,11.0,1.0,0.0
124,Carregal do Sal,541.0,569.9404277777778,6.195004649758454,10.757608695652175,678.1,7.370652173913044,2023,4,17,6.293419278846481,1207.8,0.0,0.0,1.0,4.0,0.0,8.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,5.0,1.0,0.0
125,Castro Daire,423.0,513.6273944444445,5.582906461352657,9.278260869565218,780.8,8.48695652173913,2023,4,17,6.0473721790462776,1078.7,0.0,0.0,1.0,4.0,0.0,7.0,0.0,1.0,4.0,8.0,2.0,1.0,28.0,1.0,1.0,0.0
126,Mangualde,546.0,565.3768277777777,6.145400301932367,14.378260869565215,463.6,5.039130434782609,2023,4,17,6.302618975744905,1342.5,0.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,2.0,3.0,1.0,21.0,5.0,1.0,0.0
127,Nelas,579.0,578.6300333333334,6.289456884057971,13.746739130434785,513.1,5.577173913043478,2023,4,17,6.361302477572996,1305.6,0.0,0.0,1.0,2.0,0.0,15.0,1.0,0.0,2.0,2.0,4.0,3.0,17.0,5.0,1.0,0.0
128,Oliveira de Frades,603.0,503.8163666666667,5.476264855072464,6.895652173913043,596.0,6.478260869565218,2023,4,17,6.401917196727186,1391.3,0.0,0.0,1.0,3.0,1.0,14.0,2.0,0.0,4.0,8.0,2.0,3.0,19.0,1.0,1.0,0.0
129,Penalva do Castelo,432.0,558.8998222222223,6.07499806763285,14.269565217391303,541.8000000000001,5.88913043478261,2023,4,17,6.068425588244111,1089.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0
130,Santa Comba Dão,484.0,576.7328555555556,6.26883538647343,10.814130434782609,506.1,5.501086956521739,2023,4,17,6.182084906716632,1126.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,3.0,0.0,0.0
131,São Pedro do Sul,828.0,785.1715361111111,8.534473218599034,13.141304347826088,619.4,6.732608695652174,2023,4,17,6.71901315438526,1029.1,1.0,0.0,4.0,7.0,1.0,12.0,6.0,1.0,4.0,16.0,3.0,5.0,38.0,4.0,2.0,1.0
132,Sátão,514.0,525.8589055555556,5.715857669082125,12.478260869565217,671.4,7.297826086956522,2023,4,17,6.2422232654551655,1001.5,0.0,0.0,1.0,2.0,1.0,8.0,1.0,0.0,2.0,3.0,4.0,2.0,12.0,0.0,2.0,0.0
