,municipality,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,quarter_num,quarter_ord,avg_income,people/km2,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,5 - 9,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 ou mais,Menos de 5,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm
44,Ribeira de Pena,493.240575,5.361310597826087,9.725,1052.3,11.43804347826087,0,56,37,0,4,17,1206.7,27.0,207.0,261.0,284.0,256.0,242.0,301.0,335.0,370.0,191.0,392.0,411.0,535.0,508.0,438.0,386.0,266.0,320.0,158.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0,6.075346031088684
45,Valpaços,525.550075,5.712500815217391,5.881521739130435,361.1,3.925,0,54,34,0,4,17,1006.7,26.6,436.0,543.0,574.0,538.0,548.0,574.0,687.0,837.0,389.0,839.0,1041.0,1229.0,1389.0,1369.0,1227.0,930.0,1090.0,350.0,1.0,1.0,3.0,5.0,5.0,16.0,3.0,1.0,11.0,25.0,10.0,6.0,44.0,4.0,1.0,2.0,6.345636360828596
46,Vila Pouca de Aguiar,502.92784166666667,5.466606974637681,10.979347826086956,676.7,7.355434782608696,1,56,36,0,4,17,1061.5,26.9,369.0,422.0,550.0,507.0,503.0,491.0,611.0,744.0,358.0,698.0,938.0,1086.0,1099.0,993.0,901.0,635.0,607.0,260.0,0.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,2.0,4.0,3.0,3.0,11.0,1.0,1.0,0.0,6.343880434126331
49,Castelo de Paiva,548.1580333333334,5.958239492753624,11.195652173913045,760.2,8.26304347826087,2,53,44,3,4,17,1077.4,134.3,649.0,827.0,1003.0,874.0,833.0,776.0,957.0,1176.0,564.0,1316.0,1304.0,1243.0,1024.0,828.0,651.0,457.0,491.0,475.0,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0,6.82001636467413
50,Celorico de Basto,511.7940972222222,5.56297931763285,10.45,970.3,10.546739130434784,1,54,40,2,4,17,1015.3,97.5,765.0,898.0,997.0,1007.0,849.0,974.0,1142.0,1236.0,660.0,1324.0,1348.0,1468.0,1285.0,982.0,821.0,569.0,798.0,532.0,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0,6.530877627725885
51,Cinfães,529.5754166666667,5.756254528985507,9.681521739130435,842.1,9.153260869565218,0,55,39,1,4,17,1080.7,72.8,735.0,843.0,1008.0,877.0,792.0,851.0,1034.0,1278.0,613.0,1393.0,1453.0,1323.0,1249.0,1138.0,861.0,692.0,739.0,553.0,0.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,47.0,1.0,3.0,0.0,6.385194398997726
52,Felgueiras,511.7940972222222,5.56297931763285,10.45,970.3,10.546739130434784,1,54,40,1,4,17,1096.3,478.9,2397.0,2770.0,3393.0,3478.0,3372.0,3356.0,3770.0,4178.0,2293.0,4489.0,4475.0,4262.0,3577.0,2739.0,2036.0,1360.0,1387.0,2097.0,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0,6.836259277277067
53,Lousada,518.166575,5.632245380434783,11.060869565217391,967.3,10.514130434782608,1,54,39,2,4,17,1076.2,502.8,2307.0,2695.0,3116.0,3098.0,3096.0,3118.0,3456.0,4002.0,2182.0,3844.0,3762.0,3449.0,2800.0,2070.0,1545.0,913.0,828.0,2028.0,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0,6.907755278982137
54,Marco de Canaveses,531.1563833333333,5.773438949275362,10.433695652173911,819.3,8.905434782608696,0,56,41,2,4,17,1087.3,245.6,2356.0,2810.0,3198.0,3061.0,2765.0,2760.0,3185.0,3990.0,1902.0,4227.0,4070.0,3718.0,3000.0,2543.0,1840.0,1156.0,1257.0,1738.0,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0,6.822197390620491
55,Paços de Ferreira,525.7857444444444,5.715062439613526,12.483695652173912,893.1,9.707608695652176,2,56,42,2,4,17,1104.1,788.6,2634.0,3108.0,3576.0,3552.0,3541.0,3582.0,3877.0,4534.0,2339.0,4525.0,4504.0,4038.0,3223.0,2533.0,1914.0,1174.0,1073.0,2254.0,1.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,3.0,7.0,3.0,3.0,36.0,2.0,1.0,0.0,6.917705609835305
