Designação,COD (NUTS2024),muni_norm,quarter_label,price_sqm,year,quarter,avg_income_eur,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,temp_max_c_mean,temp_min_c_mean,sunshine_s_sum,wind_kmh_mean,precip_mm_sum,log_price_sqm,pop_10___14,pop_15___19,pop_20___24,pop_25___29,pop_30___34,pop_35___39,pop_40___44,pop_45___49,pop_5___9,pop_50___54,pop_55___59,pop_60___64,pop_65___69,pop_70___74,pop_75___79,pop_80___84,pop_85_ou_mais,pop_menos_de_5,pop_total,population_density_km2
Amarante,11C1301,AMARANTE,4ºT 2023,861.0,2023,4,1133.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.741304347826087,10.467391304347826,1865399.67,11.060869565217391,967.3,6.7580945044277305,2287.0,2621.0,3069.0,2888.0,2660.0,2760.0,3347.0,3891.0,1892.0,4049.0,4324.0,4165.0,3813.0,3108.0,2350.0,1595.0,1661.0,1755.0,52235.0,173.3
Castelo de Paiva,11C0106,CASTELO DE PAIVA,4ºT 2023,916.0,2023,4,1077.4,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0,18.55760869565217,11.304347826086955,1962799.1,11.231521739130434,764.8,6.82001636467413,649.0,827.0,1003.0,874.0,833.0,776.0,957.0,1176.0,564.0,1316.0,1304.0,1243.0,1024.0,828.0,651.0,457.0,491.0,475.0,15448.0,134.3
Celorico de Basto,11C0305,CELORICO DE BASTO,4ºT 2023,686.0,2023,4,1015.3,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0,17.023913043478263,9.284782608695652,1842458.75,10.45,970.3,6.530877627725885,765.0,898.0,997.0,1007.0,849.0,974.0,1142.0,1236.0,660.0,1324.0,1348.0,1468.0,1285.0,982.0,821.0,569.0,798.0,532.0,17655.0,97.5
Felgueiras,11C1303,FELGUEIRAS,4ºT 2023,931.0,2023,4,1096.3,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0,16.27608695652174,8.542391304347825,1842458.75,10.45,970.3,6.836259277277067,2397.0,2770.0,3393.0,3478.0,3372.0,3356.0,3770.0,4178.0,2293.0,4489.0,4475.0,4262.0,3577.0,2739.0,2036.0,1360.0,1387.0,2097.0,55429.0,478.9
Lousada,11C1305,LOUSADA,4ºT 2023,1000.0,2023,4,1076.2,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0,16.541304347826088,9.267391304347829,1865399.67,11.060869565217391,967.3,6.907755278982137,2307.0,2695.0,3116.0,3098.0,3096.0,3118.0,3456.0,4002.0,2182.0,3844.0,3762.0,3449.0,2800.0,2070.0,1545.0,913.0,828.0,2028.0,48309.0,502.8
Marco de Canaveses,11C1307,MARCO DE CANAVESES,4ºT 2023,918.0,2023,4,1087.3,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0,17.068478260869565,9.669565217391304,1912162.98,10.433695652173911,819.3,6.822197390620491,2356.0,2810.0,3198.0,3061.0,2765.0,2760.0,3185.0,3990.0,1902.0,4227.0,4070.0,3718.0,3000.0,2543.0,1840.0,1156.0,1257.0,1738.0,49576.0,245.6
Armamar,11D1801,ARMAMAR,4ºT 2023,400.0,2023,4,1070.8,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,15.203260869565218,7.938043478260869,1847413.42,7.2923913043478255,453.9,5.991464547107982,197.0,239.0,314.0,263.0,274.0,253.0,308.0,327.0,182.0,444.0,455.0,529.0,414.0,384.0,338.0,275.0,324.0,130.0,5650.0,48.2
Lamego,11D1805,LAMEGO,4ºT 2023,769.0,2023,4,1123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.659782608695652,8.384782608695652,1847413.42,7.2923913043478255,453.9,6.645090969505644,883.0,1136.0,1277.0,1191.0,1078.0,1094.0,1495.0,1750.0,819.0,1860.0,2039.0,2179.0,1911.0,1558.0,1205.0,949.0,1033.0,672.0,24129.0,145.9
Moimenta da Beira,11D1807,MOIMENTA DA BEIRA,4ºT 2023,497.0,2023,4,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.469565217391304,7.98695652173913,1997890.69,13.39891304347826,354.9,6.208590026096629,419.0,440.0,525.0,499.0,433.0,500.0,576.0,623.0,357.0,599.0,672.0,812.0,751.0,662.0,580.0,464.0,490.0,331.0,9733.0,44.2
Sabrosa,11D1710,SABROSA,4ºT 2023,427.0,2023,4,1180.7,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,21.0,3.0,1.0,0.0,14.268478260869566,7.791304347826086,1851843.18,7.616304347826087,547.8,6.056784013228625,191.0,253.0,262.0,277.0,259.0,299.0,308.0,401.0,158.0,346.0,381.0,464.0,471.0,443.0,372.0,305.0,290.0,154.0,5634.0,35.9
Sernancelhe,11D1818,SERNANCELHE,4ºT 2023,229.0,2023,4,1023.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.06304347826087,7.61195652173913,1933924.5,13.798913043478262,509.6,5.43372200355424,198.0,220.0,302.0,302.0,266.0,264.0,343.0,360.0,165.0,360.0,468.0,532.0,479.0,415.0,363.0,293.0,322.0,141.0,5793.0,25.3
Tarouca,11D1820,TAROUCA,4ºT 2023,687.0,2023,4,1074.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,15.629347826086958,8.964130434782609,1845045.46,9.940217391304348,456.6,6.532334292222349,335.0,387.0,448.0,375.0,366.0,390.0,494.0,523.0,308.0,588.0,595.0,629.0,530.0,462.0,408.0,286.0,245.0,246.0,7615.0,76.1
Torre de Moncorvo,11D0409,TORRE DE MONCORVO,4ºT 2023,306.0,2023,4,1036.1,2.0,0.0,2.0,4.0,0.0,13.0,2.0,0.0,9.0,8.0,6.0,4.0,14.0,3.0,4.0,1.0,16.210869565217394,7.679347826086956,2042914.82,6.632608695652174,271.0,5.723585101952381,187.0,204.0,248.0,257.0,268.0,306.0,337.0,366.0,173.0,399.0,437.0,578.0,633.0,601.0,569.0,439.0,543.0,192.0,6737.0,12.7
Vila Real,11D1714,VILA REAL,4ºT 2023,1271.0,2023,4,1308.6,4.0,6.0,21.0,33.0,17.0,91.0,25.0,11.0,66.0,103.0,47.0,51.0,302.0,35.0,19.0,4.0,15.11304347826087,8.641304347826088,1851843.18,7.616304347826087,547.8,7.147559271189454,2189.0,2351.0,2729.0,2466.0,2376.0,2715.0,3452.0,3966.0,1983.0,3893.0,3950.0,3823.0,3445.0,2977.0,2388.0,1720.0,1776.0,1729.0,49928.0,131.8
Macedo de Cavaleiros,11E0405,MACEDO DE CAVALEIROS,4ºT 2023,540.0,2023,4,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.751086956521736,7.251086956521739,1938058.8,8.832608695652175,386.3,6.29156913955832,457.0,577.0,652.0,622.0,625.0,661.0,767.0,863.0,439.0,921.0,1042.0,1194.0,1250.0,1177.0,1011.0,742.0,857.0,379.0,14236.0,20.4
Miranda do Douro,11E0406,MIRANDA DO DOURO,4ºT 2023,299.0,2023,4,1046.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.528260869565216,7.023913043478261,1918572.88,13.160869565217393,253.6,5.700443573390687,192.0,227.0,243.0,244.0,242.0,221.0,370.0,390.0,195.0,406.0,412.0,492.0,593.0,522.0,486.0,410.0,517.0,136.0,6298.0,12.9
Mirandela,11E0407,MIRANDELA,4ºT 2023,750.0,2023,4,1135.7,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0,16.806521739130435,8.576086956521738,1860491.45,5.96304347826087,366.4,6.620073206530356,803.0,832.0,1057.0,1018.0,946.0,1034.0,1230.0,1409.0,722.0,1508.0,1479.0,1628.0,1778.0,1651.0,1364.0,1105.0,1197.0,629.0,21390.0,32.5
