year,region,scope,education_level,symbol,unit,value
2019,Arganil,Município,02. Básico - 1º Ciclo,, euros,765.0
2019,Arganil,Município,03. Básico - 2º Ciclo,, euros,824.9
2019,Arganil,Município,04. Básico - 3º Ciclo,, euros,793.6
2019,Arganil,Município,05. Secundário,, euros,859.3
2019,Arganil,Município,07. Bacharelato,, euros,1696.9
2019,Arganil,Município,08. Licenciatura,, euros,1202.9
2019,Arganil,Município,09. Mestrado,, euros,1068.7
2019,Armamar,Município,01. Inferior ao 1.º ciclo,, euros,716.4
2019,Armamar,Município,02. Básico - 1º Ciclo,, euros,756.5
2019,Armamar,Município,03. Básico - 2º Ciclo,, euros,807.6
2019,Armamar,Município,04. Básico - 3º Ciclo,, euros,788.5
2019,Armamar,Município,05. Secundário,, euros,875.5
2019,Armamar,Município,07. Bacharelato,, euros,1565.5
2019,Armamar,Município,08. Licenciatura,, euros,1258.9
2019,Armamar,Município,09. Mestrado,, euros,1607.0
2019,Arouca,Município,01. Inferior ao 1.º ciclo,, euros,811.9
2019,Arouca,Município,02. Básico - 1º Ciclo,, euros,803.3
2019,Arouca,Município,03. Básico - 2º Ciclo,, euros,854.0
2019,Arouca,Município,04. Básico - 3º Ciclo,, euros,869.7
2019,Arouca,Município,05. Secundário,, euros,946.1
2019,Arouca,Município,07. Bacharelato,, euros,1359.6
2019,Arouca,Município,08. Licenciatura,, euros,1325.4
2019,Arouca,Município,09. Mestrado,, euros,1300.3
2019,Arraiolos,Município,01. Inferior ao 1.º ciclo,, euros,820.8
2019,Arraiolos,Município,02. Básico - 1º Ciclo,, euros,809.0
2019,Arraiolos,Município,03. Básico - 2º Ciclo,, euros,885.8
2019,Arraiolos,Município,04. Básico - 3º Ciclo,, euros,899.5
2019,Arraiolos,Município,05. Secundário,, euros,910.5
2019,Arraiolos,Município,07. Bacharelato,, euros,1005.3
2019,Arraiolos,Município,08. Licenciatura,, euros,1708.8
2019,Arraiolos,Município,09. Mestrado,, euros,1361.6
2019,Arronches,Município,02. Básico - 1º Ciclo,, euros,862.8
2019,Arronches,Município,03. Básico - 2º Ciclo,, euros,833.8
2019,Arronches,Município,04. Básico - 3º Ciclo,, euros,788.5
2019,Arronches,Município,05. Secundário,, euros,848.4
2019,Arronches,Município,08. Licenciatura,, euros,1259.4
2019,Arruda dos Vinhos,Município,01. Inferior ao 1.º ciclo,, euros,757.8
2019,Arruda dos Vinhos,Município,02. Básico - 1º Ciclo,, euros,902.7
2019,Arruda dos Vinhos,Município,03. Básico - 2º Ciclo,, euros,990.5
2019,Arruda dos Vinhos,Município,04. Básico - 3º Ciclo,, euros,964.5
2019,Arruda dos Vinhos,Município,05. Secundário,, euros,1000.9
2019,Arruda dos Vinhos,Município,07. Bacharelato,, euros,1487.9
2019,Arruda dos Vinhos,Município,08. Licenciatura,, euros,1712.6
2019,Arruda dos Vinhos,Município,09. Mestrado,, euros,1636.6
2019,Arruda dos Vinhos,Município,10. Doutoramento,, euros,1011.4
2019,Aveiro,Município,01. Inferior ao 1.º ciclo,, euros,783.9
2019,Aveiro,Município,02. Básico - 1º Ciclo,, euros,943.0
2019,Aveiro,Município,03. Básico - 2º Ciclo,, euros,1036.4
2019,Aveiro,Município,04. Básico - 3º Ciclo,, euros,993.8
2019,Aveiro,Município,05. Secundário,, euros,1084.5
2019,Aveiro,Município,06. Curso técnico superior profissional,, euros,881.3
2019,Aveiro,Município,07. Bacharelato,, euros,1782.4
2019,Aveiro,Município,08. Licenciatura,, euros,1721.5
2019,Aveiro,Município,09. Mestrado,, euros,1678.3
2019,Aveiro,Município,10. Doutoramento,, euros,2562.6
2019,Avis,Município,02. Básico - 1º Ciclo,, euros,838.8
2019,Avis,Município,03. Básico - 2º Ciclo,, euros,860.0
2019,Avis,Município,04. Básico - 3º Ciclo,, euros,868.2
2019,Avis,Município,05. Secundário,, euros,951.4
2019,Avis,Município,07. Bacharelato,, euros,1926.3
2019,Avis,Município,08. Licenciatura,, euros,1527.3
2019,Azambuja,Município,01. Inferior ao 1.º ciclo,, euros,863.6
2019,Azambuja,Município,02. Básico - 1º Ciclo,, euros,898.0
2019,Azambuja,Município,03. Básico - 2º Ciclo,, euros,957.3
2019,Azambuja,Município,04. Básico - 3º Ciclo,, euros,975.7
2019,Azambuja,Município,05. Secundário,, euros,859.1
2019,Azambuja,Município,07. Bacharelato,, euros,1899.1
2019,Azambuja,Município,08. Licenciatura,, euros,1986.2
2019,Azambuja,Município,09. Mestrado,, euros,1663.6
2019,Azambuja,Município,10. Doutoramento,, euros,2709.7
2019,Baião,Município,01. Inferior ao 1.º ciclo,, euros,757.8
2019,Baião,Município,02. Básico - 1º Ciclo,, euros,772.4
2019,Baião,Município,03. Básico - 2º Ciclo,, euros,830.7
2019,Baião,Município,04. Básico - 3º Ciclo,, euros,891.8
2019,Baião,Município,05. Secundário,, euros,819.8
2019,Baião,Município,07. Bacharelato,, euros,1468.3
2019,Baião,Município,08. Licenciatura,, euros,1107.3
2019,Baião,Município,09. Mestrado,, euros,1246.5
2019,Barcelos,Município,01. Inferior ao 1.º ciclo,, euros,762.2
2019,Barcelos,Município,02. Básico - 1º Ciclo,, euros,828.5
2019,Barcelos,Município,03. Básico - 2º Ciclo,, euros,847.4
2019,Barcelos,Município,04. Básico - 3º Ciclo,, euros,881.6
2019,Barcelos,Município,05. Secundário,, euros,937.9
2019,Barcelos,Município,06. Curso técnico superior profissional,, euros,879.7
2019,Barcelos,Município,07. Bacharelato,, euros,1481.5
2019,Barcelos,Município,08. Licenciatura,, euros,1435.5
2019,Barcelos,Município,09. Mestrado,, euros,1346.5
2019,Barcelos,Município,10. Doutoramento,, euros,1721.1
2019,Barrancos,Município,02. Básico - 1º Ciclo,, euros,722.4
2019,Barrancos,Município,03. Básico - 2º Ciclo,, euros,772.2
2019,Barrancos,Município,04. Básico - 3º Ciclo,, euros,752.3
2019,Barrancos,Município,05. Secundário,, euros,838.7
2019,Barrancos,Município,08. Licenciatura,, euros,1348.4
2019,Barreiro,Município,01. Inferior ao 1.º ciclo,, euros,844.1
2019,Barreiro,Município,02. Básico - 1º Ciclo,, euros,868.2
2019,Barreiro,Município,03. Básico - 2º Ciclo,, euros,952.2
2019,Barreiro,Município,04. Básico - 3º Ciclo,, euros,934.7
2019,Barreiro,Município,05. Secundário,, euros,1017.8
2019,Barreiro,Município,07. Bacharelato,, euros,1575.5
2019,Barreiro,Município,08. Licenciatura,, euros,1671.8
2019,Barreiro,Município,09. Mestrado,, euros,1706.6
2019,Barreiro,Município,10. Doutoramento,, euros,2009.5
2019,Batalha,Município,01. Inferior ao 1.º ciclo,, euros,851.8
2019,Batalha,Município,02. Básico - 1º Ciclo,, euros,971.1
2019,Batalha,Município,03. Básico - 2º Ciclo,, euros,1067.6
2019,Batalha,Município,04. Básico - 3º Ciclo,, euros,1014.8
2019,Batalha,Município,05. Secundário,, euros,1063.7
2019,Batalha,Município,07. Bacharelato,, euros,1434.4
2019,Batalha,Município,08. Licenciatura,, euros,1495.7
2019,Batalha,Município,09. Mestrado,, euros,1446.5
2019,Batalha,Município,10. Doutoramento,, euros,1268.8
2019,Beja,Município,01. Inferior ao 1.º ciclo,, euros,758.3
2019,Beja,Município,02. Básico - 1º Ciclo,, euros,855.5
2019,Beja,Município,03. Básico - 2º Ciclo,, euros,907.2
2019,Beja,Município,04. Básico - 3º Ciclo,, euros,929.5
2019,Beja,Município,05. Secundário,, euros,1032.2
2019,Beja,Município,06. Curso técnico superior profissional,, euros,877.3
2019,Beja,Município,07. Bacharelato,, euros,1561.9
2019,Beja,Município,08. Licenciatura,, euros,1641.6
2019,Beja,Município,09. Mestrado,, euros,1539.8
2019,Beja,Município,10. Doutoramento,, euros,1811.0
2019,Belmonte,Município,01. Inferior ao 1.º ciclo,, euros,705.3
2019,Belmonte,Município,02. Básico - 1º Ciclo,, euros,747.7
2019,Belmonte,Município,03. Básico - 2º Ciclo,, euros,742.4
2019,Belmonte,Município,04. Básico - 3º Ciclo,, euros,767.0
2019,Belmonte,Município,05. Secundário,, euros,848.2
2019,Belmonte,Município,07. Bacharelato,, euros,1610.3
2019,Belmonte,Município,08. Licenciatura,, euros,1237.0
2019,Belmonte,Município,09. Mestrado,, euros,1384.0
2019,Benavente,Município,01. Inferior ao 1.º ciclo,, euros,829.1
2019,Benavente,Município,02. Básico - 1º Ciclo,, euros,958.1
2019,Benavente,Município,03. Básico - 2º Ciclo,, euros,960.2
2019,Benavente,Município,04. Básico - 3º Ciclo,, euros,960.8
2019,Benavente,Município,05. Secundário,, euros,1057.0
2019,Benavente,Município,06. Curso técnico superior profissional,, euros,1237.7
2019,Benavente,Município,07. Bacharelato,, euros,1866.5
2019,Benavente,Município,08. Licenciatura,, euros,1821.9
2019,Benavente,Município,09. Mestrado,, euros,1754.0
2019,Benavente,Município,10. Doutoramento,, euros,1823.6
2019,Bombarral,Município,01. Inferior ao 1.º ciclo,, euros,741.6
2019,Bombarral,Município,02. Básico - 1º Ciclo,, euros,830.9
2019,Bombarral,Município,03. Básico - 2º Ciclo,, euros,866.8
2019,Bombarral,Município,04. Básico - 3º Ciclo,, euros,828.0
2019,Bombarral,Município,05. Secundário,, euros,949.4
2019,Bombarral,Município,06. Curso técnico superior profissional,, euros,886.1
2019,Bombarral,Município,07. Bacharelato,, euros,1716.7
2019,Bombarral,Município,08. Licenciatura,, euros,1427.4
2019,Bombarral,Município,09. Mestrado,, euros,1211.2
2019,Borba,Município,01. Inferior ao 1.º ciclo,, euros,786.0
2019,Borba,Município,02. Básico - 1º Ciclo,, euros,899.7
2019,Borba,Município,03. Básico - 2º Ciclo,, euros,868.9
2019,Borba,Município,04. Básico - 3º Ciclo,, euros,851.0
2019,Borba,Município,05. Secundário,, euros,968.5
2019,Borba,Município,07. Bacharelato,, euros,1850.8
2019,Borba,Município,08. Licenciatura,, euros,1482.2
2019,Borba,Município,09. Mestrado,, euros,1206.6
2019,Boticas,Município,02. Básico - 1º Ciclo,, euros,762.9
2019,Boticas,Município,03. Básico - 2º Ciclo,, euros,774.9
2019,Boticas,Município,04. Básico - 3º Ciclo,, euros,789.9
2019,Boticas,Município,05. Secundário,, euros,866.2
2019,Boticas,Município,07. Bacharelato,, euros,992.9
2019,Boticas,Município,08. Licenciatura,, euros,1353.3
2019,Boticas,Município,09. Mestrado,, euros,3085.2
2019,Braga,Município,01. Inferior ao 1.º ciclo,, euros,768.4
2019,Braga,Município,02. Básico - 1º Ciclo,, euros,878.2
2019,Braga,Município,03. Básico - 2º Ciclo,, euros,1047.2
2019,Braga,Município,04. Básico - 3º Ciclo,, euros,933.7
2019,Braga,Município,05. Secundário,, euros,1007.0
