region,quarter,temperature_2m_mean,precipitation_sum,sunshine_duration,windspeed_10m_mean
Região Autónoma dos Açores,2021Q3,20.577173913043477,221.6,3806559.2600000002,12.415217391304349
Região Autónoma dos Açores,2021Q4,17.38804347826087,489.6,2297923.38,15.733695652173912
Região Autónoma dos Açores,2022Q1,13.792222222222222,228.0,2543097.32,15.742222222222221
Região Autónoma dos Açores,2022Q2,15.778021978021977,381.1,3355964.72,15.432967032967033
Região Autónoma dos Açores,2022Q3,20.61413043478261,194.6,3799542.51,11.248913043478263
Região Autónoma dos Açores,2022Q4,16.327173913043477,454.40000000000003,2421500.13,17.72826086956522
Região Autónoma dos Açores,2023Q1,13.708888888888888,395.0,2476982.43,17.585555555555555
Região Autónoma dos Açores,2023Q2,16.66813186813187,477.7,3547209.01,15.008791208791209
Região Autónoma dos Açores,2023Q3,20.794565217391302,252.6,3755027.62,10.511956521739132
Região Autónoma dos Açores,2023Q4,17.09565217391304,669.6,2105016.54,16.655434782608694
Região Autónoma dos Açores,2024Q1,14.493406593406595,484.8,2329903.7600000002,18.22967032967033
Região Autónoma dos Açores,2024Q2,16.592307692307692,392.3,3662758.87,14.145054945054946
Região Autónoma dos Açores,2024Q3,21.61413043478261,160.5,3959710.14,10.759782608695652
Região Autónoma dos Açores,2024Q4,16.89782608695652,375.3,2608775.8,14.92608695652174
Região Autónoma dos Açores,2025Q1,13.964444444444444,535.9,2409668.21,21.804444444444446
Região Autónoma da Madeira,2019Q1,7.0777777777777775,189.5,2465846.9,4.633333333333334
Região Autónoma da Madeira,2019Q2,10.368131868131869,151.6,3251109.91,4.3
Região Autónoma da Madeira,2019Q3,14.036956521739132,69.4,3397731.4,3.465217391304348
Região Autónoma da Madeira,2019Q4,10.879347826086956,252.29999999999998,2582323.64,4.593478260869565
Região Autónoma da Madeira,2020Q1,7.92967032967033,192.6,2519755.49,4.562637362637362
Região Autónoma da Madeira,2020Q2,10.602197802197802,376.09999999999997,3258135.22,5.151648351648352
Região Autónoma da Madeira,2020Q3,14.717391304347826,61.1,3552193.07,4.006521739130435
Região Autónoma da Madeira,2020Q4,10.107608695652173,467.4,2253978.65,5.11195652173913
Região Autónoma da Madeira,2021Q1,7.397777777777777,382.9,2479292.17,5.09
Região Autónoma da Madeira,2021Q2,10.243956043956045,159.8,3345531.27,4.01978021978022
Região Autónoma da Madeira,2021Q3,14.670652173913044,101.60000000000001,3538634.87,4.021739130434782
Região Autónoma da Madeira,2021Q4,10.408695652173913,367.8,2381147.2,4.444565217391305
Região Autónoma da Madeira,2022Q1,7.513333333333334,420.8,2320653.29,5.984444444444445
Região Autónoma da Madeira,2022Q2,9.957142857142857,276.0,3089296.39,5.1912087912087905
Região Autónoma da Madeira,2022Q3,13.93586956521739,171.0,3234899.4,3.8978260869565218
Região Autónoma da Madeira,2022Q4,10.932608695652174,523.0,2184113.41,5.7054347826086955
Região Autónoma da Madeira,2023Q1,7.971111111111111,265.5,2388462.4,4.49
Região Autónoma da Madeira,2023Q2,11.602197802197802,530.8000000000001,3347618.78,5.101098901098901
Região Autónoma da Madeira,2023Q3,14.73695652173913,93.6,3481686.65,3.41195652173913
Região Autónoma da Madeira,2023Q4,11.697826086956523,271.0,2550168.71,4.0826086956521745
Região Autónoma da Madeira,2024Q1,8.572527472527472,544.1,2299047.85,5.608791208791208
Região Autónoma da Madeira,2024Q2,10.82857142857143,114.6,3400759.34,3.39010989010989
Região Autónoma da Madeira,2024Q3,14.592391304347826,55.0,3551314.01,3.3119565217391305
Região Autónoma da Madeira,2024Q4,10.376086956521739,468.90000000000003,2271650.85,4.297826086956522
Região Autónoma da Madeira,2025Q1,6.88111111111111,619.6,2142581.62,5.432222222222222
