year,municipality,people/km2
2020,Sernancelhe,24.7
2020,Serpa,12.5
2020,Sertã,33.2
2020,Sesimbra,269.2
2020,Setúbal,539.6
2020,Sever do Vouga,85.4
2020,Silves,55.8
2020,Sines,70.3
2020,Sintra,1212.8
2020,Sobral de Monte Agraço,204.3
2020,Soure,65.3
2020,Sousel,15.7
2020,Tábua,56.4
2020,Tabuaço,37.5
2020,Tarouca,73.4
2020,Tavira,45.6
2020,Terras de Bouro,23.1
2020,Tomar,104.3
2020,Tondela,70.3
2020,Torre de Moncorvo,12.9
2020,Torres Novas,127.3
2020,Torres Vedras,205.2
2020,Trancoso,23.4
2020,Trofa,536.8
2020,Vagos,139.7
2020,Vale de Cambra,144.9
2020,Valença,116.9
2020,Valongo,1264.9
2020,Valpaços,26.9
2020,Velas,42.2
2020,Vendas Novas,50.7
2020,Viana do Alentejo,13.7
2020,Viana do Castelo,270.1
2020,Vidigueira,16.5
2020,Vieira do Minho,55.7
2020,Vila da Praia da Vitória,121.1
2020,Vila de Rei,17.2
2020,Vila do Bispo,32.1
2020,Vila do Conde,545.1
2020,Vila do Porto,56.0
2020,Vila Flor,23.0
2020,Vila Franca de Xira,434.3
2020,Vila Franca do Campo,133.1
2020,Vila Nova da Barquinha,143.1
2020,Vila Nova de Cerveira,82.4
2020,Vila Nova de Famalicão,665.0
2020,Vila Nova de Foz Côa,15.9
2020,Vila Nova de Gaia,1810.2
2020,Vila Nova de Paiva,26.8
2020,Vila Nova de Poiares,81.5
2020,Vila Pouca de Aguiar,27.2
2020,Vila Real,131.3
2020,Vila Real de Santo António,309.8
2020,Vila Velha de Ródão,10.1
2020,Vila Verde,203.9
2020,Vila Viçosa,38.0
2020,Vimioso,8.7
2020,Vinhais,11.2
2020,Viseu,197.2
2020,Vizela,971.0
2020,Vouzela,49.8
2021,Abrantes,47.8
2021,Águeda,138.7
2021,Aguiar da Beira,25.7
2021,Alandroal,9.3
2021,Albergaria-a-Velha,158.7
2021,Albufeira,317.8
2021,Alcácer do Sal,7.4
2021,Alcanena,98.5
2021,Alcobaça,136.6
2021,Alcochete,151.7
2021,Alcoutim,4.4
2021,Alenquer,150.9
2021,Alfândega da Fé,13.3
2021,Alijó,35.1
2021,Aljezur,19.0
2021,Aljustrel,19.4
2021,Almada,2542.1
2021,Almeida,11.2
2021,Almeirim,100.5
2021,Almodôvar,8.7
2021,Alpiarça,74.4
2021,Alter do Chão,8.6
2021,Alvaiázere,39.3
2021,Alvito,8.7
2021,Amadora,7281.6
2021,Amarante,172.8
2021,Amares,230.2
2021,Anadia,128.7
2021,Angra do Heroísmo,141.9
2021,Ansião,66.5
2021,Arcos de Valdevez,46.2
2021,Arganil,33.6
2021,Armamar,48.8
2021,Arouca,63.9
2021,Arraiolos,9.8
2021,Arronches,8.9
2021,Arruda dos Vinhos,185.1
2021,Aveiro,418.0
2021,Avis,6.3
2021,Azambuja,83.7
2021,Baião,99.9
2021,Barcelos,307.8
2021,Barrancos,8.9
2021,Barreiro,2162.8
2021,Batalha,153.1
2021,Beja,29.3
2021,Belmonte,52.2
2021,Benavente,59.0
2021,Bombarral,145.0
2021,Borba,44.5
2021,Boticas,15.3
2021,Braga,1064.7
2021,Bragança,29.6
2021,Cabeceiras de Basto,64.2
2021,Cadaval,79.1
2021,Caldas da Rainha,203.3
2021,Calheta [R.A.A.],27.9
2021,Calheta [R.A.M.],98.4
2021,Câmara de Lobos,620.1
2021,Caminha,116.8
2021,Campo Maior,32.5
2021,Cantanhede,88.0
2021,Carrazeda de Ansiães,19.4
2021,Carregal do Sal,77.7
2021,Cartaxo,149.9
2021,Cascais,2195.9
2021,Castanheira de Pêra,40.3
2021,Castelo Branco,36.5
2021,Castelo de Paiva,134.3
2021,Castelo de Vide,12.1
2021,Castro Daire,36.1
2021,Castro Marim,21.9
2021,Castro Verde,12.2
2021,Celorico da Beira,26.6
2021,Celorico de Basto,97.4
2021,Chamusca,11.5
2021,Chaves,63.3
2021,Cinfães,74.0
2021,Coimbra,444.2
2021,Condeixa-a-Nova,122.5
2021,Constância,47.6
2021,Coruche,15.6
2021,Corvo,24.1
2021,Covilhã,83.5
2021,Crato,8.1
2021,Cuba,25.6
2021,Elvas,32.7
2021,Entroncamento,1521.3
2021,Espinho,1492.9
2021,Esposende,374.6
2021,Estarreja,245.3
2021,Estremoz,24.8
2021,Évora,41.2
2021,Fafe,220.8
2021,Faro,335.0
2021,Felgueiras,480.9
2021,Ferreira do Alentejo,12.1
2021,Ferreira do Zêzere,41.4
2021,Figueira da Foz,156.7
2021,Figueira de Castelo Rodrigo,10.0
2021,Figueiró dos Vinhos,30.4
2021,Fornos de Algodres,33.6
2021,Freixo de Espada à Cinta,13.2
2021,Fronteira,11.9
2021,Funchal,1396.0
2021,Fundão,38.1
2021,Gavião,11.5
2021,Góis,14.4
2021,Golegã,64.1
2021,Gondomar,1255.9
2021,Gouveia,40.7
2021,Grândola,16.9
2021,Guarda,56.4
2021,Guimarães,649.3
2021,Horta,83.4
2021,Idanha-a-Nova,5.9
2021,Ílhavo,547.5
2021,Lagoa,272.8
2021,Lagoa [R.A.A.],317.2
2021,Lagos,157.7
2021,Lajes das Flores,20.2
2021,Lajes do Pico,28.3
2021,Lamego,146.5
2021,Leiria,230.2
2021,Lisboa,5448.7
2021,Loulé,94.7
2021,Loures,1212.0
2021,Lourinhã,183.4
2021,Lousã,124.0
2021,Lousada,495.7
2021,Mação,16.1
2021,Macedo de Cavaleiros,20.3
2021,Machico,287.4
2021,Madalena,43.8
2021,Mafra,301.5
2021,Maia,1658.8
2021,Mangualde,83.8
2021,Manteigas,24.2
2021,Marco de Canaveses,245.4
2021,Marinha Grande,211.7
2021,Marvão,19.8
2021,Matosinhos,2797.9
2021,Mealhada,176.6
2021,Mêda,16.1
2021,Melgaço,32.3
2021,Mértola,4.8
2021,Mesão Frio,132.7
2021,Mira,98.7
2021,Miranda do Corvo,95.5
2021,Miranda do Douro,13.1
2021,Mirandela,32.4
2021,Mogadouro,10.9
2021,Moimenta da Beira,43.2
2021,Moita,1212.9
2021,Monção,84.5
2021,Monchique,13.7
2021,Mondim de Basto,37.4
2021,Monforte,7.2
2021,Montalegre,11.4
2021,Montemor-o-Novo,13.0
2021,Montemor-o-Velho,108.0
2021,Montijo,163.3
2021,Mora,9.4
2021,Mortágua,35.9
2021,Moura,13.9
2021,Mourão,8.6
2021,Murça,27.7
2021,Murtosa,146.0
2021,Nazaré,182.7
2021,Nelas,105.1
2021,Nisa,10.1
2021,Nordeste,43.7
2021,Óbidos,87.7
2021,Odemira,17.8
2021,Odivelas,5618.7
2021,Oeiras,3745.3
2021,Oleiros,10.5
2021,Olhão,341.0
2021,Oliveira de Azeméis,413.5
2021,Oliveira de Frades,66.4
2021,Oliveira do Bairro,272.3
