municipality,quarter_year,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm
Seia,3Q 2022,1088.360338888889,11.83000368357488,8.940217391304348,74.1,0.8054347826086956
Seia,3Q 2023,1091.1651944444445,11.860491243961354,8.514130434782608,102.4,1.1130434782608696
Seia,3Q 2024,1097.892125,11.933610054347827,8.775,44.1,0.47934782608695653
Seia,4Q 2019,543.4357444444445,5.906910265700484,10.91195652173913,759.8,8.258695652173913
Seia,4Q 2020,613.5975972222222,6.669539100241546,9.908695652173913,499.2,5.426086956521739
Seia,4Q 2021,651.2902055555555,7.079241364734299,9.085869565217392,331.6,3.604347826086957
Seia,4Q 2022,514.3556722222222,5.590822524154589,11.523913043478261,681.2,7.404347826086957
Seia,4Q 2023,584.233875,6.350368206521739,9.809782608695652,623.3,6.7749999999999995
Seia,4Q 2024,646.2334694444445,7.02427684178744,8.751086956521739,334.3,3.633695652173913
Seixal,1Q 2020,752.3005944444444,8.2670394993895,11.748351648351647,90.8,0.9978021978021978
Seixal,1Q 2021,710.5493833333334,7.894993148148148,12.944444444444445,241.4,2.6822222222222223
Seixal,1Q 2022,752.8407722222222,8.364897469135801,11.482222222222223,120.1,1.3344444444444443
Seixal,1Q 2023,762.3264583333333,8.47029398148148,11.437777777777779,103.5,1.15
Seixal,1Q 2024,717.3437055555555,7.882897863247863,13.17032967032967,284.1,3.1219780219780224
Seixal,1Q 2025,652.0182222222222,7.2446469135802465,11.335555555555556,420.8,4.6755555555555555
Seixal,2Q 2020,1065.5893805555556,11.709773412698414,12.751648351648353,205.4,2.257142857142857
Seixal,2Q 2021,1095.5489583333333,12.038999542124541,12.910989010989011,148.5,1.6318681318681318
Seixal,2Q 2022,1088.4482694444443,11.960969993894993,14.392307692307693,68.4,0.7516483516483518
Seixal,2Q 2023,1105.684125,12.150375,13.712087912087911,93.5,1.0274725274725274
Seixal,2Q 2024,1054.1462777777779,11.584025030525032,12.5978021978022,86.6,0.9516483516483516
Seixal,3Q 2020,1091.5758944444444,11.864955374396136,13.123913043478263,38.4,0.41739130434782606
Seixal,3Q 2021,1101.4203722222223,11.971960567632852,13.891304347826088,60.5,0.657608695652174
Seixal,3Q 2022,1076.7278000000001,11.703563043478262,12.122826086956522,64.9,0.7054347826086957
Seixal,3Q 2023,1091.9461833333332,11.868980253623187,13.78804347826087,36.9,0.4010869565217391
Seixal,3Q 2024,1069.9411055555556,11.629794625603866,13.584782608695651,25.299999999999997,0.27499999999999997
Seixal,4Q 2019,679.9023194444444,7.390242602657004,13.815217391304348,256.8,2.7913043478260873
Seixal,4Q 2020,688.165263888889,7.480057216183575,12.0,207.6,2.256521739130435
Seixal,4Q 2021,752.6362916666667,8.180829257246376,11.92608695652174,141.7,1.5402173913043478
Seixal,4Q 2022,630.736025,6.855826358695652,12.725,433.1,4.7076086956521745
Seixal,4Q 2023,655.1892833333334,7.121622644927537,11.161956521739132,241.3,2.622826086956522
Seixal,4Q 2024,745.5650055555556,8.10396745169082,11.05,200.9,2.1836956521739133
Sernancelhe,1Q 2020,682.6139277777778,7.501251953601954,12.59010989010989,151.5,1.664835164835165
Sernancelhe,1Q 2021,704.0914722222223,7.8232385802469135,13.844444444444445,246.8,2.7422222222222223
Sernancelhe,1Q 2022,711.9952305555555,7.91105811728395,11.610000000000001,97.8,1.0866666666666667
Sernancelhe,1Q 2023,724.0765555555555,8.045295061728394,12.723333333333333,174.2,1.9355555555555555
Sernancelhe,1Q 2024,607.6448555555555,6.677415995115995,13.567032967032967,315.7,3.469230769230769
Sernancelhe,1Q 2025,601.0849777777778,6.678721975308642,12.521111111111113,353.2,3.924444444444444
Sernancelhe,2Q 2020,1061.699838888889,11.667031196581197,10.886813186813187,206.1,2.264835164835165
Sernancelhe,2Q 2021,1053.399588888889,11.57581965811966,11.037362637362637,178.8,1.964835164835165
Sernancelhe,2Q 2022,1043.4587472222222,11.466579639804639,12.147252747252749,134.0,1.4725274725274726
Sernancelhe,2Q 2023,1077.6945833333334,11.84279761904762,10.978021978021978,186.8,2.052747252747253
Sernancelhe,2Q 2024,1059.3085972222223,11.640753815628816,11.429670329670328,183.7,2.0186813186813186
Sernancelhe,3Q 2020,1120.8006888888888,12.182616183574877,10.75,63.2,0.6869565217391305
Sernancelhe,3Q 2021,1102.5852444444445,11.984622222222223,10.321739130434782,87.4,0.9500000000000001
Sernancelhe,3Q 2022,1113.437938888889,12.102586292270532,10.829347826086956,47.8,0.5195652173913043
Sernancelhe,3Q 2023,1103.6262944444445,11.995937983091789,10.009782608695652,78.9,0.857608695652174
Sernancelhe,3Q 2024,1104.3615,12.003929347826087,10.072826086956523,44.2,0.4804347826086957
Sernancelhe,4Q 2019,578.9662611111111,6.2931115338164245,14.971739130434784,365.3,3.970652173913044
Sernancelhe,4Q 2020,653.6236722222222,7.104605132850241,13.409782608695652,298.7,3.2467391304347823
